transfer,execution,Zero$Scenario,negativeScenario,return,reject,approve,transfertype,creditor_identifier,creditor_name,debtor_identifier,debtor_name,amount,reference,address,direction,internal_saving_account_id,deposit_amount,agent_identifier,agent_name,paymentSubType,paymentRail,clientEnvironment,creditor_accountType,debtor_accountType
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,1,Validating incoming credit SWIFT transfer with positive amount.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,yes,,,,,CREDIT,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,ACCOUNT:9510024976128870,JMAutoJMTest,0,Validating outgoing credit SWIFT transfer with zero amount.,17 Robert Lane,OUT,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,ACCOUNT:9510024976128870,JMAutoJMTest,1.2,Validating outgoing credit SWIFT transfer with decimal amount.,17 Robert Lane,OUT,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,yes,no,,,no,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,Madden Allen,0,Validating incoming credit SWIFT transfer with zero amount.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,Madden Allen,1.22,Validating incoming credit SWIFT transfer with decimal amount.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,Madden Allen,1.11,Validating incoming credit SWIFT transfer with decimal amount and wrong external debtor name.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000573678,TD Corporation Sarl,1,Validating incoming credit SWIFT transfer with non existing external debtor account.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,yes,,,,CREDIT,ACCOUNT:951002497612893848870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,Madden Allen,1,Validating incoming credit SWIFT transfer with non existing internal creditor's account.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,Krishna C R,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,1,Validating incoming credit SWIFT transfer with wrong creditor name.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://TRWIBEB1/BR210340007000190877,TD Corporation Sarl,1,Validating incoming credit SWIFT transfer with different Beneficiary FI ID Code & Identifier.,17 Robert Lane,IN,439,20,,,,SWIFT,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1,validating incoming credit wire with positive amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1,validating incoming debit wire with positive amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1,validating outgoing debit wire with postive amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,yes,,,,,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,0,validating outgoing credit wire with zero amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,yes,no,,,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,0,validating incoming credit wire with zero amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,yes,no,,,,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,0,validating incoming debit wire with zero amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,0,validating outgoing debit wire with zero amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1.3,validating outgoing credit wire with decimal amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.46,validating incoming credit wire with decimal amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,yes,no,,,,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1.123,validating incoming debit wire with decimal amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.11,validating outgoing debit wire with decimal amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,Shyam,1.12,validating outgoing credit wire with wrong client name(internal account holder name).,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,Shyam,WIRE://021000018/5187656545361,Madden Allen,1.12,validating incoming credit wire with decimal amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,Shyam,1.123,validating incoming debit wire with decimal amount,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,Shyam,WIRE://021000018/5187656545361,Madden Allen,1.11,validating outgoing debit wire with decimal amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,yes,,,,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:10000450230847,JMAutoJMTest,1.33,validating outgoing credit wire with non existing wrong account number(internal account number),17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,yes,,,,CREDIT,ACCOUNT:10000450230847,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,0.54,validating incoming credit wire with non existing wrong account number(internal account number),17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,yes,,,yes,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:10000450230847,JMAutoJMTest,1.123,validating incoming debit wire with non existing wrong account number(internal account number),17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:10000450230847,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.11,validating outgoing debit wire with non existing wrong account number(internal account number),17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1.11,validating outgoing credit wire with different routing code,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.26,validating incoming credit wire with different routing code,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,yes,,,,DEBIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1.62,validating incoming debit wire with different routing code,17 Robert Lane,IN,439,20,,,,WIRE,CheqlyStage,,
WIRE,no,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.24,validating outgoing debit wire with different routing code,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
ACH,yes,,no,,yes,,CREDIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JMAutoJMTest,5001,validating outgoing credit ach reject,17 Robert Lane,OUT,439,6000,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,yes,,,,CREDIT,ACCOUNT:90000876587,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,1.6,validating incoming credit ach with wrong account number.,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,0.8,validating incoming credit ach with wrong address,Mart Road,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,Om Raut,ACH://321070007/9000450236950,Ram Yadav,1.2,validating incoming credit ach with wrong name,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,yes,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,5001,validating incoming credit ach reject with wrong name and transfer amount 5000$.,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,yes,,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,1.66,validating incoming credit ach return with wrong address,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
SWIFT,yes,,no,,yes,,CREDIT,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,ACCOUNT:9510024976128870,JMAutoJMTest,5001,validating outgoing credit ach reject,17 Robert Lane,OUT,439,8000,321070007,Cheqly,,SWIFT,CheqlyStage,,
SWIFT,yes,,yes,,,,CREDIT,ACCOUNT:90000876587,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,1.6,validating incoming credit SWIFT with wrong account number.,17 Robert Lane,IN,439,20,321070007,Cheqly,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,0.8,validating incoming credit SWIFT with wrong address,Mart Road,IN,439,20,321070007,Cheqly,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,Om Raut,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,1.2,validating incoming credit SWIFT with wrong name,17 Robert Lane,IN,439,20,321070007,Cheqly,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,,yes,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,5001,validating incoming credit SWIFT reject with wrong name and transfer amount 5000$.,17 Robert Lane,IN,439,20,321070007,Cheqly,,SWIFT,CheqlyStage,,
SWIFT,yes,,no,yes,,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,1.66,validating incoming credit SWIFT return with wrong address,17 Robert Lane,IN,439,20,321070007,Cheqly,,SWIFT,CheqlyStage,,
WIRE,yes,,no,,yes,,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,5001,validating outgoing credit ach reject,17 Robert Lane,OUT,439,50000,321070007,Cheqly,,WIRE,CheqlyStage,,
WIRE,yes,,yes,,,,CREDIT,ACCOUNT:90000876587,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.6,validating incoming credit SWIFT with wrong account number.,17 Robert Lane,IN,439,20,321070007,Cheqly,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,0.8,validating incoming credit SWIFT with wrong address,Mart Road,IN,439,20,321070007,Cheqly,,WIRE,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,Om Raut,WIRE://021000018/5187656545361,Madden Allen,1.2,validating incoming credit SWIFT with wrong name,17 Robert Lane,IN,439,20,321070007,Cheqly,,WIRE,CheqlyStage,,
WIRE,yes,,no,,yes,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,5001,validating incoming credit SWIFT reject with wrong name and transfer amount 5000$.,17 Robert Lane,IN,439,20,321070007,Cheqly,,WIRE,CheqlyStage,,
WIRE,yes,,no,yes,,,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,WIRE://021000018/5187656545361,Madden Allen,1.66,validating incoming credit SWIFT return with wrong address,17 Robert Lane,IN,439,20,321070007,Cheqly,,WIRE,CheqlyStage,,
,,,,,,,,,,,,,,,,,,,,,,,,
